Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Number of frontages,Swimming pool,Building condition,Apartment,Type Apartment,Type House,Apartment block,Bungalow,Castle,Chalet,Country house,Duplex,Exceptional property,Farmhouse,Ground floor,House,Kot,Loft,Manor house,Mansion,Other properties,Penthouse,Service flat,Studio,Town-house,Triplex,Villa,Antwerpen,Brussels,Henegouwen,Limburg,Luik,Luxemburg,Namen,Oost-vlaanderen,Vlaams-brabant,Waals-brabant,West-vlaanderen,Hyper equipped,Installed,Not installed,Semi equipped,USA hyper equipped,USA installed,USA semi equipped,USA uninstalled,Unknown_Kitchen_Type,No,Furnished_No,Yes,Furnished_Yes,Fireplace_No,Fireplace_Yes,HasGarden_No,HasGarden_Yes,HasTerrace_No,HasTerrace_Yes,Swimmingpool_No,Swimmingpool_Yes,Good,Just renovated,To be done up,To renovate,To restore,Unknown
3,Apartment,Apartment,649000.0,1150,Brussels,150,Hyper equipped,No,Yes,1,Yes,60,No,0,3,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
2,Apartment,Apartment,179900.0,6890,Luxemburg,86,Installed,Unknown_Furnished,No,0,No,0,Yes,7,4,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
5,House,House,309000.0,4520,Luik,170,Semi equipped,No,No,0,Yes,600,Yes,20,4,No,Good,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
5,House,Villa,309000.0,4520,Luik,170,Semi equipped,No,No,0,Yes,600,Yes,20,4,No,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
2,House,Penthouse,369000.0,1200,Brussels,87,Hyper equipped,No,No,0,No,0,Yes,30,2,No,As new,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
4,House,House,660000.0,1180,Brussels,200,USA semi equipped,No,Yes,1,Yes,96,No,0,3,No,Good,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
5,House,House,745000.0,1780,Vlaams-brabant,287,Hyper equipped,No,No,0,Yes,510,Yes,40,4,No,As new,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1,Apartment,Apartment,135000.0,9000,Oost-vlaanderen,25,Semi equipped,No,No,0,No,0,No,0,2,No,Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
2,Apartment,Apartment,425000.0,9000,Oost-vlaanderen,128,Installed,No,No,0,No,0,Yes,76,2,No,Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
2,Apartment,Apartment,594000.0,1050,Brussels,131,USA hyper equipped,No,No,0,No,0,No,0,2,No,Just renovated,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
2,House,Town-house,369000.0,1070,Brussels,145,Hyper equipped,Unknown_Furnished,No,0,No,0,Yes,17,2,No,Good,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
