Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
2,Apartment,Apartment,"380,000",1050,Brussels,76,Installed,No,No,0,No,0,Yes,14,0,2,No,Good
2,Apartment,Penthouse,"399,000",1050,Brussels,120,Not installed,No,No,0,No,0,Yes,20,0,3,No,To renovate
3,Apartment,Apartment,"660,000",1180,Brussels,185,Hyper equipped,No,No,0,No,0,Yes,8,0,2,No,Good
2,Apartment,Apartment,"185,000",1800,Vlaams-brabant,80,Semi equipped,No,No,0,No,0,No,0,0,2,No,Good
0,Apartment,Studio,"198,000",8370,West-vlaanderen,42,Installed,Yes,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Penthouse,Make,1160,Brussels,75,Installed,No,No,0,No,0,Yes,35,0,0,No,To be done up
3,Apartment,Apartment,"299,000",4000,Luik,98,USA hyper equipped,No,No,0,No,0,Yes,2,0,2,No,As new
2,Apartment,Apartment,"320,000",2018,Antwerpen,87,Hyper equipped,No,No,0,No,0,Yes,7,0,2,No,As new
4,House,Villa,"349,000",9600,Oost-vlaanderen,186,Hyper equipped,No,No,0,Yes,485,Yes,30,992,4,No,Good
2,Apartment,Apartment,"359,000",9000,Oost-vlaanderen,105,Installed,0,No,0,No,0,Yes,8,0,0,No,As new
4,House,Villa,"460,000",9400,Oost-vlaanderen,225,Installed,0,No,0,No,0,No,0,1635,4,No,Good
2,Apartment,Apartment,"825,000",1000,Brussels,145,Hyper equipped,No,No,0,No,0,Yes,12,0,4,No,Good
4,House,Exceptional property,"845,000",3060,Vlaams-brabant,400,USA hyper equipped,No,No,0,Yes,1500,Yes,50,1869,4,No,Good
3,House,House,"184,000",4630,Luik,140,Not installed,No,No,0,Yes,20,No,0,177,3,No,Good
4,House,Mixed-use building,"889,000",1730,Vlaams-brabant,302,USA hyper equipped,0,No,0,No,0,No,0,4529,4,No,As new
1,Apartment,Kot,"150,000",3010,Vlaams-brabant,23,Installed,Yes,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"209,900",4280,Luik,109,Installed,No,No,0,No,0,Yes,8,0,4,No,Good
0,Apartment,Studio,"250,000",1040,Brussels,46,Hyper equipped,Yes,No,0,No,0,Yes,34,0,2,No,As new
